low,high,street,side
29681,29733,CANTERBURY CT,O
30900,30999,HITCHING POST CT,B
28000,28498,THORNY BRAE RD,E
28000,28599,HARWICH DR,B
30700,30799,WOODSTREAM CT,B
33981,34059,COTSWOLD ST,O
21288,21332,LAUREN LN,E
37400,37899,WINDWOOD DR,B
22800,23298,FARMINGTON RD,E
33200,33436,OAKLAND ST,E
710,811,3RD AVE,B
25,25,W COLUMBIA AVE,O
1000,1000,FAIRVIEW AVE,E
805,805,KENILWORTH AVE,O
671,671,MELROSE ST,O
543,709,E TENNYSON AVE,B
137,137,CHIPPEWA RD,O
521,521,FRANKLIN RD,O
1065,1065,JAMES K BLVD,O
239,239,W PIKE ST,O
37,37,STOUT ST,O
85,85,N ANDERSON AVE,O
230,230,CARRIAGE CIRCLE DR,E
130,130,S EDITH ST,E
101,101,S FRANCIS AVE,O
69,69,N MARSHALL ST,O
1092,1408,MAURER AVE,E
793,793,E PIKE ST,O
1,299,N TASMANIA ST,B
4016,4016,BROOKSIDE RD,E
7152,7152,GATEWAY PARK DR,E
6210,6950,PATRICK CT,E
6400,6599,E WASHINGTON ST,B
10301,11285,CEDAR COVE CT,O
10090,10440,HADLEY RD,E
5015,5015,MOHAWK AVE,O
7801,10275,SASHABAW RD,O
11855,13151,ANDERSONVILLE RD,O
9219,9331,OSPREY BAY CIR,O
11290,11658,NORWAY DR,B
3403,3576,HIGH VIEW RD,B
600,722,W BAKER RD,E
134,134,N MILFORD RD,E
2400,2798,CANDLEWICK DR,E
3627,3953,ACADIA DR,B
2531,2999,ORBIT DR,O
184,998,W CLARKSTON RD,E
173,323,KIRKSWAY LN,O
2184,2206,PRESTWICK LN,B
3525,3565,HAWTHORN CT,B
3500,3802,CHARITOO RDG,B
268,1246,ROWLAND RD,E
1219,1399,BEEMER CT,O
600,699,GAIL CT,B
515,642,MECHANIC ST,B
1502,1970,SEYMOUR LAKE RD,E
25400,25999,ARCADIA DR,B
24458,24535,NEPAVINE CT,B
22153,22389,CHELSEA LN,O
24742,24742,JAMESTOWNE RD,E
24200,24366,TAFT RD,E
42901,43399,W 13 MILE RD,O
1123,1123,E LAKE DR,O
1400,1799,PARAMOUNT ST,B
1700,1700,GENERAL MOTORS RD,E
1044,1252,SHOTEY CT,E
2827,2950,DEBBIWOOD CT,B
117,157,MARTINDALE,O
700,999,SQUIRE LN,B
4700,5198,CARROLL LAKE RD,E
5900,6199,HUXLEY ST,B
4400,4499,RONDELAY ST,B
106,230,ABBEY BLVD,B
5480,5501,IRENE BLVD,B
4000,4237,STISON CREST CT,B
9300,9499,ECHO ST,B
9000,9067,OAKWOOD ST,B
1205,1451,UNION LAKE RD,O
2520,2520,S COMMERCE RD,E
1601,1699,HIGH POINTE DR,O
1700,1798,PEDERSEN RD,E
224,348,WIND WAY DR,E
210,219,MEADOWS CIR,B
6894,7260,FRENCH LINE RD,E
1001,1299,N LAKE GEORGE RD,O
4187,4187,S GRASSMERE RD,O
200,1250,RAPSON RD,E
3252,5998,BRITTON RD,E
8000,9999,BLOCK RD,B
7001,7879,SHERIDAN RD,O
8985,8985,BAILEY RD,O
7045,7099,MCMORRAN ST,O
15190,15190,BISHOP RD,E
245,245,W LEHRING RD,O
1181,1181,FETTING RD,O
